Sucursal;Trimestre Entrega;Capital Entregado ;Cantidad Cuotas;Importe Cuota;Interes Mensual;Zona Residencia;Edad;Nacionalidad;Informa Celular;Informa Tel Particular;Informa Email;Informa Tel Alternativo;Informa Nombre Jefe;Puesto Laboral;Ingreso Formal;Sexo;Target
Once;IV;7000;14;1158;0.09;Capital Federal;59;ARGENTINA;SI;NO ;NO;SI;SI;LIMPIEZA Y SEGURIDAD;10000;M;Deudor
Once;IV;1774;3;1774.1;0.67;Zona Sur;52;ARGENTINA;SI;NO ;SI;NO;SI;OPERARIO;16000;M;Deudor
Once;IV;12000;20;1728;0.09;Capital Federal;54;ARGENTINA;SI;SI;SI;SI;SI;COMERCIO;12120;F;Cumplidor
;I;8000;11;1565;0.1;Capital Federal;48;ARGENTINA;SI;SI;NO;NO;SI;PORTERO;13115.1;M;Deudor
Once;IV;8000;11;1479.3;0.09;Capital Federal;48;ARGENTINA;SI;SI;NO;NO;SI;PORTERO;13115.1;M;Deudor
;I;10000;14;1689;0.1;Capital Federal;49;ARGENTINA;SI;SI;NO;SI;SI;ADMINISTRACION;28000;F;Cumplidor
;IV;10000;14;1654.4;0.09;Capital Federal;49;ARGENTINA;SI;SI;NO;SI;SI;ADMINISTRACION;28000;F;Cumplidor
Once;I;6000;18;934.1;0.1;Capital Federal;38;ARGENTINA;SI;SI;NO;NO;SI;ADMINISTRACION;4649.9;M;Cumplidor
Once;IV;12000;14;1985.1;0.09;Capital Federal;38;ARGENTINA;SI;SI;NO;NO;SI;ADMINISTRACION;4649.9;M;Cumplidor
Once;IV;6000;14;993;0.09;Capital Federal;29;ARGENTINA;SI;SI;SI;SI;SI;OPERARIO;3485;M;Cumplidor
;IV;15000;17;2344;0.1;Capital Federal;29;ARGENTINA;SI;SI;SI;SI;SI;OPERARIO;3485;M;Cumplidor
Once;IV;17000;18;2543.4;0.09;Capital Federal;62;ARGENTINA;SI;NO ;NO;NO;SI;PORTERO;10043;M;Cumplidor
;I;20000;18;3060;0.1;Zona Sur;40;ARGENTINA;SI;SI;SI;SI;SI;ADMINISTRACION;15590.7;M;Cumplidor
Once;IV;17000;15;2732.5;0.09;Zona Sur;40;ARGENTINA;SI;SI;SI;SI;SI;ADMINISTRACION;15590.7;M;Cumplidor
Belgrano;IV;15000;14;3158;0.14;Zona Sur;40;ARGENTINA;SI;SI;SI;SI;SI;ADMINISTRACION;15590.7;M;Cumplidor
Once;IV;10000;18;1496.1;0.09;Capital Federal;34;PARAGUAY;SI;NO ;SI;SI;SI;PORTERO;8724.8;M;Cumplidor
Once;IV;10000;14;1654;0.09;Capital Federal;45;ARGENTINA;SI;SI;NO;NO;SI;PORTERO;11690;M;Deudor
Once;IV;15000;18;2244.2;0.09;Capital Federal;50;ARGENTINA;SI;NO ;NO;NO;SI;ADMINISTRACION;20223;F;Cumplidor
Once;III;10000;15;1797;0.11;Capital Federal;64;ARGENTINA;SI;SI;NO;NO;SI;PORTERO;5469.8;M;Cumplidor
;III;10000;18;1530;0.1;Capital Federal;64;ARGENTINA;SI;SI;NO;NO;SI;PORTERO;5469.8;M;Cumplidor
Once;IV;5000;11;955;0.1;Capital Federal;64;ARGENTINA;SI;SI;NO;NO;SI;PORTERO;5469.8;M;Cumplidor
Once;IV;2000;9;628.2;0.2;Capital Federal;51;ARGENTINA;SI;NO ;NO;NO;SI;ADMINISTRACION;8739;M;Cumplidor
Once;II;7000;18;1071;0.1;Capital Federal;;ARGENTINA;SI;NO ;NO;SI;SI;LIMPIEZA Y SEGURIDAD;3137.5;F;Deudor
Once;IV;5000;14;827;0.09;Capital Federal;;ARGENTINA;SI;NO ;NO;SI;SI;LIMPIEZA Y SEGURIDAD;3137.5;F;Deudor
Once;IV;17000;18;2543.4;0.09;Zona Sur;55;ARGENTINA;SI;SI;NO;NO;SI;COMERCIO;12009.5;F;Cumplidor
Once;I;19753;18;2369;0.06;Capital Federal;50;ARGENTINA;SI;SI;NO;SI;SI;PORTERO;8690;M;Cumplidor
;IV;13000;19;1951;0.1;Capital Federal;50;ARGENTINA;SI;SI;NO;SI;SI;PORTERO;8690;M;Cumplidor
Once;IV;6000;13;1026.9;0.09;Capital Federal;50;ARGENTINA;SI;SI;NO;SI;SI;PORTERO;8690;M;Cumplidor
Once;II;5000;11;978;0.1;Capital Federal;67;ARGENTINA;SI;NO ;NO;SI;SI;LIMPIEZA Y SEGURIDAD;14462;M;Cumplidor
Once;IV;12000;10;2328;0.09;Capital Federal;67;ARGENTINA;SI;NO ;NO;SI;SI;LIMPIEZA Y SEGURIDAD;14462;M;Cumplidor
Once;IV;10000;14;1654;0.09;Capital Federal;37;ARGENTINA;SI;SI;NO;NO;SI;COMERCIO;8000;M;Cumplidor
Once;IV;5500;18;831.1;0.1;Capital Federal;25;ARGENTINA;SI;SI;SI;NO;SI;COMERCIO;4910;M;Cumplidor
Once;IV;10000;14;1654;0.09;Zona Oeste;43;ARGENTINA;SI;SI;NO;SI;SI;COMERCIO;11401;F;Deudor
Once;IV;2000;9;650;0.21;Zona Sur;65;ARGENTINA;SI;SI;NO;NO;SI;SALUD;12760;F;Cumplidor
Once;I;10000;14;1654;0.09;Zona Oeste;55;ARGENTINA;SI;SI;NO;NO;SI;LIMPIEZA Y SEGURIDAD;20000;M;Cumplidor
Once;I;10000;18;1496;0.09;Capital Federal;45;PARAGUAY;SI;SI;NO;NO;NO;PORTERO;4277;F;Cumplidor
Once;I;15000;18;2244.1;0.09;Zona Oeste;50;ARGENTINA;SI;NO ;NO;SI;SI;OPERARIO;15111;M;Deudor
Once;I;10000;14;1654;0.09;Capital Federal;64;ARGENTINA;SI;NO ;NO;NO;SI;PORTERO;9909.8;M;Cumplidor
Once;I;5000;11;955;0.1;Capital Federal;54;ARGENTINA;SI;NO ;NO;NO;SI;ADMINISTRACION;4844;F;Deudor
Once;IV;10000;14;1654;0.09;Zona Oeste;43;ARGENTINA;SI;SI;NO;NO;SI;OPERARIO;15000;M;Deudor
Once;IV;12000;21;1700;0.09;Capital Federal;32;ARGENTINA;SI;NO ;SI;SI;SI;OPERARIO;9775.5;M;Deudor
Once;II;15000;17;2344;0.1;Capital Federal;37;ARGENTINA;SI;SI;SI;SI;SI;SALUD;9230.6;F;Cumplidor
Once;IV;14000;26;1855.1;0.09;Capital Federal;37;ARGENTINA;SI;SI;SI;SI;SI;SALUD;9230.6;F;Cumplidor
;III;22000;23;1500;0.02;Capital Federal;43;ARGENTINA;SI;SI;SI;NO;SI;ADMINISTRACION;21651.8;F;Deudor
Once;IV;20000;25;2680.3;0.09;Capital Federal;43;ARGENTINA;SI;SI;SI;NO;SI;ADMINISTRACION;21651.8;F;Deudor
;II;10000;24;1391;0.1;Capital Federal;42;ARGENTINA;SI;SI;SI;NO;SI;OPERARIO;22000;F;Deudor
Once;IV;5000;11;955;0.1;Capital Federal;42;ARGENTINA;SI;SI;SI;NO;SI;OPERARIO;22000;F;Deudor
;IV;4000;18;800;0.14;Capital Federal;62;ARGENTINA;SI;SI;NO;NO;SI;ADMINISTRACION;19375;F;Deudor
Once;IV;5000;11;955;0.1;Capital Federal;62;ARGENTINA;SI;SI;NO;NO;SI;ADMINISTRACION;19375;F;Deudor
Once;IV;7000;21;991;0.09;Capital Federal;44;ARGENTINA;SI;SI;SI;NO;SI;PORTERO;4023;F;Deudor
Once;IV;10000;18;1496.1;0.09;Zona Sur;43;ARGENTINA;SI;NO ;NO;NO;SI;ADMINISTRACION;7081;F;Cumplidor
Once;IV;6500;11;1241.5;0.1;Capital Federal;39;PERU;SI;NO ;SI;NO;SI;SALUD;8455;M;Deudor
Once;IV;5000;11;955;0.1;Zona Sur;51;ARGENTINA;SI;SI;NO;SI;SI;LIMPIEZA Y SEGURIDAD;7686;M;Cumplidor
;IV;15000;21;2124.6;0.09;Capital Federal;52;ARGENTINA;SI;NO ;SI;NO;SI;OPERARIO;6724.9;M;Deudor
Once;I;7000;11;1337.1;0.1;Capital Federal;52;ARGENTINA;SI;SI;NO;NO;SI;OPERARIO;8804.3;M;Deudor
Once;I;18000;19;2640.1;0.09;Capital Federal;43;ARGENTINA;SI;NO ;SI;SI;SI;OPERARIO;12477;F;Deudor
Once;I;5000;11;955;0.1;Capital Federal;67;ARGENTINA;SI;NO ;NO;NO;SI;SALUD;8797;M;Deudor
Once;I;15000;19;2202.1;0.09;Zona Oeste;29;ARGENTINA;SI;NO ;SI;SI;NO;ADMINISTRACION;9688;M;Deudor
Once;I;12000;18;1795;0.09;Capital Federal;53;ARGENTINA;SI;SI;NO;NO;SI;PORTERO;8353;F;Cumplidor
Once;I;10000;18;1496.1;0.09;Capital Federal;27;ARGENTINA;SI;SI;SI;SI;SI;LIMPIEZA Y SEGURIDAD;5457.8;F;Cumplidor
Once;I;10000;14;1654;0.09;Capital Federal;30;ARGENTINA;SI;NO ;NO;SI;SI;SALUD;8266;M;Cumplidor
Once;III;8000;11;1800;0.13;Capital Federal;30;ARGENTINA;SI;NO ;NO;SI;SI;SALUD;8266;M;Cumplidor
Once;III;1683;1;1800.8;0.07;Capital Federal;30;ARGENTINA;SI;NO ;NO;SI;SI;SALUD;8266;M;Cumplidor
Once;I;10000;14;1654;0.09;Capital Federal;44;ARGENTINA;SI;NO ;NO;NO;SI;PORTERO;11600;M;Deudor
;I;7000;18;1071;0.1;Capital Federal;44;ARGENTINA;SI;NO ;NO;NO;SI;PORTERO;11600;M;Deudor
Once;III;10000;17;1563;0.1;Capital Federal;44;ARGENTINA;SI;NO ;NO;NO;SI;PORTERO;11600;M;Deudor
Once;I;11000;14;1820.1;0.09;Capital Federal;38;BOLIVIA;SI;NO ;NO;SI;SI;LIMPIEZA Y SEGURIDAD;8611;M;Cumplidor
Once;I;10000;14;1654;0.09;Capital Federal;40;ARGENTINA;SI;NO ;NO;SI;NO;;9500;M;Cumplidor
Once;III;10000;6;2682;0.1;Capital Federal;40;ARGENTINA;SI;NO ;NO;SI;NO;;9500;M;Cumplidor
;IV;10000;18;1530;0.1;Capital Federal;40;ARGENTINA;SI;NO ;NO;SI;NO;;9500;M;Cumplidor
Once;I;11000;18;1645.1;0.09;Capital Federal;46;ARGENTINA;SI;SI;SI;SI;SI;PORTERO;11594;M;Deudor
Once;I;15000;19;2202.1;0.09;Capital Federal;63;ARGENTINA;SI;SI;NO;SI;SI;PORTERO;11455.6;M;Cumplidor
Once;I;12000;26;1589.7;0.09;Zona Norte;50;ARGENTINA;SI;SI;SI;NO;SI;COMERCIO;17017;F;Cumplidor
Once;I;20000;26;2649.5;0.09;Zona Norte;50;ARGENTINA;SI;SI;SI;NO;SI;COMERCIO;17017;F;Cumplidor
Once;I;10000;14;1654;0.09;Capital Federal;31;ARGENTINA;SI;NO ;NO;NO;SI;LIMPIEZA Y SEGURIDAD;8423;F;Cumplidor
Once;I;10000;18;1495.7;0.09;Capital Federal;60;ARGENTINA;SI;SI;NO;NO;SI;PORTERO;6024;F;Cumplidor
Once;I;17000;20;2448.3;0.09;Capital Federal;47;ARGENTINA;SI;SI;NO;SI;SI;PORTERO;10117;F;Cumplidor
Once;III;3000;3;1427;0.14;Capital Federal;47;ARGENTINA;SI;SI;NO;SI;SI;PORTERO;10117;F;Cumplidor
Once;IV;12000;19;1801;0.1;Capital Federal;47;ARGENTINA;SI;SI;NO;SI;SI;PORTERO;10117;F;Cumplidor
Once;I;10000;14;1654.4;0.09;Capital Federal;58;ARGENTINA;SI;SI;NO;NO;SI;PORTERO;9409;M;Deudor
Once;I;10000;14;1654.4;0.09;Capital Federal;43;PERU;SI;SI;NO;NO;SI;PORTERO;9080;M;Deudor
Once;I;5000;9;1123.7;0.11;Capital Federal;63;ARGENTINA;SI;NO ;NO;SI;SI;LIMPIEZA Y SEGURIDAD;3917;M;Cumplidor
Once;I;7000;14;1200;0.1;Capital Federal;67;ARGENTINA;SI;SI;NO;NO;SI;SALUD;13720;M;Cumplidor
Once;I;10000;14;1654.4;0.09;Capital Federal;37;ARGENTINA;SI;NO ;NO;NO;SI;COMERCIO;7740;M;Deudor
Once;I;10000;14;1654.4;0.09;Capital Federal;57;ARGENTINA;SI;SI;NO;SI;SI;PORTERO;11967.7;M;Cumplidor
;I;17000;24;2365;0.1;Capital Federal;57;ARGENTINA;SI;SI;NO;SI;SI;PORTERO;11967.7;M;Cumplidor
Once;I;5000;9;1123.7;0.11;Zona Oeste;57;ARGENTINA;SI;NO ;NO;NO;SI;LIMPIEZA Y SEGURIDAD;13901.5;M;Cumplidor
;I;5000;9;1153;0.12;Zona Oeste;57;ARGENTINA;SI;NO ;NO;NO;SI;LIMPIEZA Y SEGURIDAD;13901.5;M;Cumplidor
Once;I;2000;3;1182;0.26;Capital Federal;69;PARAGUAY;SI;SI;NO;NO;SI;PORTERO;6300;F;Cumplidor
Once;I;6000;11;1145.8;0.1;Capital Federal;57;ARGENTINA;SI;SI;NO;SI;SI;ADMINISTRACION;10519;M;Cumplidor
Once;I;6000;11;1145.8;0.1;Capital Federal;51;ARGENTINA;SI;SI;NO;NO;SI;SALUD;11095.3;M;Cumplidor
Once;I;8000;9;1797.9;0.11;Capital Federal;29;ARGENTINA;SI;NO ;NO;SI;SI;COMERCIO;1300000;M;Cumplidor
;I;18000;18;2754;0.1;Capital Federal;29;ARGENTINA;SI;NO ;NO;SI;SI;COMERCIO;1300000;M;Cumplidor
;IV;5000;3;3003;0.27;Capital Federal;29;ARGENTINA;SI;NO ;NO;SI;SI;COMERCIO;1300000;M;Cumplidor
Once;I;8000;11;1527.8;0.1;Capital Federal;50;PARAGUAY;SI;SI;NO;NO;SI;PORTERO;1700000;M;Deudor
;I;10000;18;1530;0.1;Capital Federal;50;PARAGUAY;SI;SI;NO;NO;SI;PORTERO;1700000;M;Deudor
Once;I;20000;26;2650;0.09;Capital Federal;33;PARAGUAY;SI;NO ;NO;NO;SI;PORTERO;12210;M;Cumplidor
Once;I;10000;18;1495.7;0.09;Capital Federal;37;PERU;SI;SI;NO;NO;SI;COMERCIO;12834;F;Cumplidor
;I;5000;18;765;0.1;Capital Federal;37;PERU;SI;SI;NO;NO;SI;COMERCIO;12834;F;Cumplidor
Once;III;18000;18;2754;0.1;Capital Federal;37;PERU;SI;SI;NO;NO;SI;COMERCIO;12834;F;Cumplidor
Once;I;7000;11;1336.8;0.1;Capital Federal;46;ARGENTINA;SI;SI;NO;SI;SI;LIMPIEZA Y SEGURIDAD;9781;F;Deudor
;I;15000;18;2295;0.1;Capital Federal;46;ARGENTINA;SI;SI;NO;SI;SI;LIMPIEZA Y SEGURIDAD;9781;F;Deudor
Once;IV;5000;6;1739;0.18;Capital Federal;46;ARGENTINA;SI;SI;NO;SI;SI;LIMPIEZA Y SEGURIDAD;9781;F;Deudor
Once;I;15000;18;2243.6;0.09;Capital Federal;38;ARGENTINA;SI;SI;NO;NO;SI;COMERCIO;10383;M;Deudor
Once;I;8000;11;1527.8;0.1;Capital Federal;57;ARGENTINA;SI;SI;NO;NO;SI;PORTERO;11964;M;Deudor
;III;15000;26;2039;0.1;Capital Federal;57;ARGENTINA;SI;SI;NO;NO;SI;PORTERO;11964;M;Deudor
Once;I;8000;11;1527.8;0.1;Capital Federal;24;ARGENTINA;SI;NO ;NO;NO;SI;COMERCIO;10438;M;Cumplidor
Once;I;15000;17;2292.6;0.09;Capital Federal;66;ARGENTINA;SI;SI;NO;NO;SI;PORTERO;7509;F;Deudor
Once;I;6000;11;1145.8;0.1;Zona Oeste;29;ARGENTINA;SI;NO ;NO;SI;SI;COMERCIO;3998.6;F;Cumplidor
Once;I;12000;14;1985.3;0.09;Zona Norte;49;ARGENTINA;SI;SI;NO;NO;SI;OPERARIO;9400;F;Cumplidor
Once;I;7000;11;1336.8;0.1;Zona Sur;49;ARGENTINA;SI;NO ;SI;NO;SI;LIMPIEZA Y SEGURIDAD;4678.7;M;Cumplidor
;IV;12000;24;1670;0.1;Zona Sur;49;ARGENTINA;SI;NO ;SI;NO;SI;LIMPIEZA Y SEGURIDAD;4678.7;M;Cumplidor
Once;I;12000;18;1794.9;0.09;Capital Federal;44;PERU;SI;SI;NO;SI;SI;LIMPIEZA Y SEGURIDAD;8441;F;Deudor
Once;I;7000;14;1200;0.1;Zona Sur;28;ARGENTINA;SI;SI;NO;NO;SI;COMERCIO;4828;M;Cumplidor
Once;I;10000;14;1654.4;0.09;Capital Federal;41;ARGENTINA;SI;SI;NO;NO;SI;COMERCIO;15401.2;F;Deudor
;I;20000;26;2719;0.1;Capital Federal;41;ARGENTINA;SI;SI;NO;NO;SI;COMERCIO;15401.2;F;Deudor
Once;I;5000;11;954.9;0.1;Capital Federal;54;ARGENTINA;SI;SI;NO;SI;SI;LIMPIEZA Y SEGURIDAD;7974;M;Cumplidor
;IV;10000;14;1689;0.1;Capital Federal;54;ARGENTINA;SI;SI;NO;SI;SI;LIMPIEZA Y SEGURIDAD;7974;M;Cumplidor
Once;I;10000;11;1909.7;0.1;Capital Federal;45;ARGENTINA;SI;SI;NO;NO;NO;;6770;F;Cumplidor
Once;I;15000;17;2344;0.1;Capital Federal;45;ARGENTINA;SI;SI;NO;NO;NO;;6770;F;Cumplidor
;IV;15000;18;2295;0.1;Capital Federal;45;ARGENTINA;SI;SI;NO;NO;NO;;6770;F;Cumplidor
Once;I;5000;11;954.9;0.1;Zona Oeste;48;ARGENTINA;SI;NO ;NO;NO;SI;LIMPIEZA Y SEGURIDAD;4671;F;Cumplidor
Once;I;10000;14;1654.4;0.09;Capital Federal;53;ARGENTINA;SI;SI;NO;NO;SI;SALUD;10713.9;M;Cumplidor
Once;I;10000;14;1654.4;0.09;Capital Federal;58;PERU;SI;SI;NO;NO;SI;LIMPIEZA Y SEGURIDAD;9922.3;F;Deudor
;I;6120;12;800;0.05;Capital Federal;58;PERU;SI;SI;NO;NO;SI;LIMPIEZA Y SEGURIDAD;9922.3;F;Deudor
Once;III;8000;18;1224;0.1;Capital Federal;58;PERU;SI;SI;NO;NO;SI;LIMPIEZA Y SEGURIDAD;9922.3;F;Deudor
Once;I;17000;18;2542.7;0.09;Capital Federal;;ARGENTINA;SI;SI;NO;NO;SI;PORTERO;11688;M;Cumplidor
Once;I;10000;14;1654.4;0.09;Capital Federal;41;ARGENTINA;SI;NO ;NO;SI;SI;PORTERO;15702;M;Deudor
Once;III;15000;23;2214.1;0.1;Capital Federal;41;ARGENTINA;SI;NO ;NO;SI;SI;PORTERO;15702;M;Deudor
Once;I;5000;3;2956;0.26;Capital Federal;65;ARGENTINA;SI;NO ;NO;SI;SI;PORTERO;20000;M;Deudor
Once;II;11000;11;2152;0.1;Capital Federal;65;ARGENTINA;SI;NO ;NO;SI;SI;PORTERO;20000;M;Deudor
Once;I;5000;11;954.9;0.1;Zona Sur;29;ARGENTINA;SI;NO ;NO;SI;SI;COMERCIO;8178;F;Deudor
Once;I;10000;18;1495.7;0.09;Zona Oeste;34;ARGENTINA;SI;SI;NO;SI;SI;LIMPIEZA Y SEGURIDAD;9480;M;Deudor
Once;I;6000;11;1145.8;0.1;Capital Federal;60;ARGENTINA;SI;SI;NO;NO;SI;LIMPIEZA Y SEGURIDAD;13900;M;Cumplidor
;IV;10000;14;1689;0.1;Capital Federal;60;ARGENTINA;SI;SI;NO;NO;SI;LIMPIEZA Y SEGURIDAD;13900;M;Cumplidor
Once;I;15000;20;2160.2;0.09;Capital Federal;62;ARGENTINA;SI;SI;NO;NO;SI;PORTERO;20000;M;Cumplidor
Once;I;17000;23;2337.4;0.09;Capital Federal;;ARGENTINA;SI;SI;NO;NO;SI;LIMPIEZA Y SEGURIDAD;17626.1;F;Deudor
Once;I;5000;9;1123.7;0.11;Capital Federal;53;ARGENTINA;SI;SI;NO;NO;SI;ADMINISTRACION;14377.2;F;Cumplidor
Once;I;6000;9;1348.4;0.11;Zona Oeste;31;ARGENTINA;SI;NO ;NO;NO;SI;COMERCIO;4500;M;Cumplidor
Once;I;13000;21;1841.3;0.09;Capital Federal;51;ARGENTINA;SI;NO ;NO;NO;SI;COMERCIO;11815.7;F;Deudor
Once;I;6000;11;1145.8;0.1;Zona Sur;39;ARGENTINA;SI;NO ;NO;SI;SI;OPERARIO;6500;F;Deudor
Once;I;10000;14;1654.4;0.09;Capital Federal;65;ARGENTINA;SI;SI;NO;NO;SI;PORTERO;14200;F;Deudor
;III;6000;18;918;0.1;Capital Federal;65;ARGENTINA;SI;SI;NO;NO;SI;PORTERO;14200;F;Deudor
Once;I;8000;11;1527.8;0.1;Zona Norte;23;COLOMBIA;SI;SI;NO;SI;SI;LIMPIEZA Y SEGURIDAD;8906.2;F;Cumplidor
;I;5000;9;1153;0.12;Capital Federal;61;ARGENTINA;SI;SI;NO;NO;SI;PORTERO;1900000;M;Cumplidor
Once;I;5000;9;1123.7;0.11;Capital Federal;61;ARGENTINA;SI;SI;NO;NO;SI;PORTERO;1900000;M;Cumplidor
Once;I;5000;11;954.9;0.1;Capital Federal;56;ARGENTINA;SI;SI;NO;NO;SI;PORTERO;10340.3;M;Deudor
;II;15000;17;2344;0.1;Capital Federal;56;ARGENTINA;SI;SI;NO;NO;SI;PORTERO;10340.3;M;Deudor
Once;III;6000;11;1174;0.1;Capital Federal;56;ARGENTINA;SI;SI;NO;NO;SI;PORTERO;10340.3;M;Deudor
Once;I;5000;9;1123.7;0.11;Capital Federal;32;COLOMBIA;SI;NO ;NO;NO;SI;ADMINISTRACION;4211.8;M;Cumplidor
Once;I;10000;15;1606.9;0.09;Capital Federal;37;ARGENTINA;SI;NO ;NO;SI;SI;COMERCIO;8650;F;Cumplidor
Once;I;10000;18;1495.7;0.09;Capital Federal;39;ARGENTINA;SI;NO ;NO;NO;SI;OPERARIO;11449;F;Cumplidor
Once;I;12000;17;1834.1;0.09;Capital Federal;60;ARGENTINA;NO;SI;NO;SI;SI;PORTERO;15007.7;M;Cumplidor
Once;III;10000;6;2682;0.1;Capital Federal;60;ARGENTINA;NO;SI;NO;SI;SI;PORTERO;15007.7;M;Cumplidor
Once;I;12000;18;1794.9;0.09;Capital Federal;41;ARGENTINA;SI;SI;NO;NO;SI;COMERCIO;10537.8;M;Deudor
Once;I;5000;9;1123.7;0.11;Capital Federal;40;ARGENTINA;SI;SI;NO;NO;SI;COMERCIO;11000;M;Cumplidor
Once;I;10000;14;1654.4;0.09;Capital Federal;62;PERU;SI;NO ;NO;NO;SI;LIMPIEZA Y SEGURIDAD;10465;M;Deudor
Once;I;10000;14;1654.4;0.09;Capital Federal;34;PERU;SI;SI;NO;NO;SI;ADMINISTRACION;10000;M;Cumplidor
Once;I;10000;18;1495.7;0.09;Capital Federal;60;ARGENTINA;SI;SI;NO;NO;SI;SALUD;11945;F;Cumplidor
Once;I;15000;17;2292.6;0.09;Capital Federal;34;ARGENTINA;SI;NO ;NO;SI;SI;ADMINISTRACION;11900;F;Cumplidor
;II;7890;8;1254;0.03;Capital Federal;34;ARGENTINA;SI;NO ;NO;SI;SI;ADMINISTRACION;11900;F;Cumplidor
;II;7890;8;1254;0.03;Capital Federal;34;ARGENTINA;SI;NO ;NO;SI;SI;ADMINISTRACION;11900;F;Cumplidor
Once;III;11270;14;1600;0.07;Capital Federal;34;ARGENTINA;SI;NO ;NO;SI;SI;ADMINISTRACION;11900;F;Cumplidor
;IV;5000;11;978;0.1;Capital Federal;34;ARGENTINA;SI;NO ;NO;SI;SI;ADMINISTRACION;11900;F;Cumplidor
Once;I;5000;9;1123.7;0.11;Capital Federal;32;ARGENTINA;SI;NO ;NO;NO;SI;LIMPIEZA Y SEGURIDAD;10000;F;Cumplidor
Once;III;5000;9;1153;0.12;Capital Federal;32;ARGENTINA;SI;NO ;NO;NO;SI;LIMPIEZA Y SEGURIDAD;10000;F;Cumplidor
;IV;5000;9;1153;0.12;Capital Federal;32;ARGENTINA;SI;NO ;NO;NO;SI;LIMPIEZA Y SEGURIDAD;10000;F;Cumplidor
Once;I;10000;18;1495.7;0.09;Zona Oeste;41;ARGENTINA;SI;SI;NO;NO;SI;ADMINISTRACION;8968;M;Deudor
Once;I;10000;14;1654.4;0.09;Capital Federal;38;ARGENTINA;SI;SI;NO;SI;SI;OPERARIO;11092.7;F;Cumplidor
Once;I;17000;18;2542.7;0.09;Capital Federal;46;ARGENTINA;SI;NO ;NO;NO;SI;LIMPIEZA Y SEGURIDAD;170000;F;Deudor
Once;I;5000;11;954.9;0.1;Zona Sur;51;ARGENTINA;SI;SI;NO;NO;SI;PORTERO;12823;M;Deudor
;I;10000;18;1530;0.1;Zona Oeste;37;ARGENTINA;SI;SI;NO;NO;SI;ADMINISTRACION;9773.5;M;Cumplidor
Once;I;8000;11;1527.8;0.1;Zona Oeste;37;ARGENTINA;SI;SI;NO;NO;SI;ADMINISTRACION;9773.5;M;Cumplidor
Once;I;20000;21;2832.8;0.09;Capital Federal;65;ARGENTINA;SI;NO ;NO;NO;SI;PORTERO;16730;M;Deudor
